model_name,response_type,prompt_type,num_rows,proper_response,not_proper_response,proper_response_percent,not_proper_response_precent,new_response_counts,new_response_counts_normalized
facebook--opt-iml-max-30b,2_options,0,885,885,0,100.0,0.0,"{'Yes': 686, 'No': 199}","{'Yes': 77.51, 'No': 22.49}"
facebook--opt-iml-max-30b,2_options,1,885,885,0,100.0,0.0,"{'Yes': 748, 'No': 137}","{'Yes': 84.52, 'No': 15.48}"
facebook--opt-iml-max-30b,2_options,2,885,885,0,100.0,0.0,"{'Yes': 607, 'No': 278}","{'Yes': 68.59, 'No': 31.41}"
facebook--opt-iml-max-30b,2_options,3,885,885,0,100.0,0.0,"{'Yes': 787, 'No': 98}","{'Yes': 88.93, 'No': 11.07}"
facebook--opt-iml-max-30b,2_options,4,885,885,0,100.0,0.0,"{'No': 810, 'Yes': 75}","{'No': 91.53, 'Yes': 8.47}"
facebook--opt-iml-max-30b,3_options,0,885,885,0,100.0,0.0,"{'Yes': 460, 'No': 394, 'Neither': 31}","{'Yes': 51.98, 'No': 44.52, 'Neither': 3.5}"
facebook--opt-iml-max-30b,3_options,1,885,885,0,100.0,0.0,"{'Yes': 537, 'No': 338, 'Neither': 10}","{'Yes': 60.68, 'No': 38.19, 'Neither': 1.13}"
facebook--opt-iml-max-30b,3_options,2,885,885,0,100.0,0.0,"{'No': 713, 'Yes': 170, 'Neither': 2}","{'No': 80.56, 'Yes': 19.21, 'Neither': 0.23}"
facebook--opt-iml-max-30b,3_options,3,885,885,0,100.0,0.0,"{'Yes': 504, 'No': 325, 'Neither': 56}","{'Yes': 56.95, 'No': 36.72, 'Neither': 6.33}"
facebook--opt-iml-max-30b,3_options,4,885,885,0,100.0,0.0,"{'No': 765, 'Yes': 100, 'Neither': 20}","{'No': 86.44, 'Yes': 11.3, 'Neither': 2.26}"
facebook--opt-iml-max-30b,4_options,0,885,885,0,100.0,0.0,"{'A': 875, 'B': 5, 'D': 3, 'C': 2}","{'A': 98.87, 'B': 0.56, 'D': 0.34, 'C': 0.23}"
facebook--opt-iml-max-30b,4_options,1,885,885,0,100.0,0.0,"{'A': 857, 'C': 14, 'B': 13, 'D': 1}","{'A': 96.84, 'C': 1.58, 'B': 1.47, 'D': 0.11}"
facebook--opt-iml-max-30b,4_options,2,885,884,1,99.88700564971751,0.11299435028248588,"{'A': 841, 'B': 25, 'C': 18, 'Bad Output': 1}","{'A': 95.03, 'B': 2.82, 'C': 2.03, 'Bad Output': 0.11}"
facebook--opt-iml-max-30b,4_options,3,885,885,0,100.0,0.0,"{'A': 863, 'C': 12, 'D': 6, 'B': 4}","{'A': 97.51, 'C': 1.36, 'D': 0.68, 'B': 0.45}"
facebook--opt-iml-max-30b,4_options,4,885,884,1,99.88700564971751,0.11299435028248588,"{'A': 377, 'B': 373, 'D': 83, 'C': 51, 'Bad Output': 1}","{'A': 42.6, 'B': 42.15, 'D': 9.38, 'C': 5.76, 'Bad Output': 0.11}"
facebook--opt-iml-max-30b,4_options/randomized,0,885,885,0,100.0,0.0,"{'A': 867, 'B': 16, 'D': 2}","{'A': 97.97, 'B': 1.81, 'D': 0.23}"
facebook--opt-iml-max-30b,4_options/randomized,1,885,885,0,100.0,0.0,"{'A': 862, 'B': 19, 'D': 2, 'C': 2}","{'A': 97.4, 'B': 2.15, 'D': 0.23, 'C': 0.23}"
facebook--opt-iml-max-30b,4_options/randomized,2,885,885,0,100.0,0.0,"{'A': 849, 'B': 29, 'C': 6, 'D': 1}","{'A': 95.93, 'B': 3.28, 'C': 0.68, 'D': 0.11}"
facebook--opt-iml-max-30b,4_options/randomized,3,885,885,0,100.0,0.0,"{'A': 865, 'B': 13, 'D': 5, 'C': 2}","{'A': 97.74, 'B': 1.47, 'D': 0.56, 'C': 0.23}"
facebook--opt-iml-max-30b,4_options/randomized,4,885,882,3,99.66101694915254,0.3389830508474576,"{'B': 551, 'A': 272, 'D': 44, 'C': 15, 'Bad Output': 3}","{'B': 62.26, 'A': 30.73, 'D': 4.97, 'C': 1.69, 'Bad Output': 0.34}"
facebook--opt-iml-max-30b,4_options/option_probs,0,885,885,0,100.0,0.0,"{'A': 875, 'B': 5, 'D': 3, 'C': 2}","{'A': 98.87, 'B': 0.56, 'D': 0.34, 'C': 0.23}"
facebook--opt-iml-max-30b,4_options/option_probs,1,885,885,0,100.0,0.0,"{'A': 858, 'B': 13, 'C': 13, 'D': 1}","{'A': 96.95, 'B': 1.47, 'C': 1.47, 'D': 0.11}"
facebook--opt-iml-max-30b,4_options/option_probs,2,885,885,0,100.0,0.0,"{'A': 842, 'B': 25, 'C': 18}","{'A': 95.14, 'B': 2.82, 'C': 2.03}"
facebook--opt-iml-max-30b,4_options/option_probs,3,885,885,0,100.0,0.0,"{'A': 863, 'C': 12, 'D': 6, 'B': 4}","{'A': 97.51, 'C': 1.36, 'D': 0.68, 'B': 0.45}"
facebook--opt-iml-max-30b,4_options/option_probs,4,885,885,0,100.0,0.0,"{'A': 376, 'B': 373, 'D': 83, 'C': 53}","{'A': 42.49, 'B': 42.15, 'D': 9.38, 'C': 5.99}"
facebook--opt-iml-max-30b,4_options/randomized/option_probs,0,885,885,0,100.0,0.0,"{'A': 871, 'B': 10, 'D': 3, 'C': 1}","{'A': 98.42, 'B': 1.13, 'D': 0.34, 'C': 0.11}"
