tags,p0_conflict,p0_bad_output,bad_output,total,both_bad_output,model_size,model,response_type,prompt_type
Conspiracy,1,0,0,263,0,small,tiiuae--falcon-7b,2_options,P1
Controversy,1,0,0,173,0,small,tiiuae--falcon-7b,2_options,P1
Fact,7,0,0,142,0,small,tiiuae--falcon-7b,2_options,P1
Fiction,0,0,0,83,0,small,tiiuae--falcon-7b,2_options,P1
Misconception,0,0,0,102,0,small,tiiuae--falcon-7b,2_options,P1
Stereotype,0,0,0,122,0,small,tiiuae--falcon-7b,2_options,P1
Conspiracy,1,0,0,263,0,small,tiiuae--falcon-7b,2_options,P2
Controversy,2,0,0,173,0,small,tiiuae--falcon-7b,2_options,P2
Fact,8,0,0,142,0,small,tiiuae--falcon-7b,2_options,P2
Fiction,0,0,0,83,0,small,tiiuae--falcon-7b,2_options,P2
Misconception,0,0,0,102,0,small,tiiuae--falcon-7b,2_options,P2
Stereotype,0,0,0,122,0,small,tiiuae--falcon-7b,2_options,P2
Conspiracy,2,0,0,263,0,small,tiiuae--falcon-7b,2_options,P3
Controversy,9,0,0,173,0,small,tiiuae--falcon-7b,2_options,P3
Fact,14,0,0,142,0,small,tiiuae--falcon-7b,2_options,P3
Fiction,4,0,0,83,0,small,tiiuae--falcon-7b,2_options,P3
Misconception,3,0,0,102,0,small,tiiuae--falcon-7b,2_options,P3
Stereotype,0,0,0,122,0,small,tiiuae--falcon-7b,2_options,P3
Conspiracy,1,0,0,263,0,small,tiiuae--falcon-7b,3_options,P1
Controversy,0,0,0,173,0,small,tiiuae--falcon-7b,3_options,P1
Fact,0,0,0,142,0,small,tiiuae--falcon-7b,3_options,P1
Fiction,0,0,0,83,0,small,tiiuae--falcon-7b,3_options,P1
Misconception,0,0,0,102,0,small,tiiuae--falcon-7b,3_options,P1
Stereotype,0,0,0,122,0,small,tiiuae--falcon-7b,3_options,P1
Conspiracy,3,0,0,263,0,small,tiiuae--falcon-7b,3_options,P2
Controversy,1,0,0,173,0,small,tiiuae--falcon-7b,3_options,P2
Fact,3,0,0,142,0,small,tiiuae--falcon-7b,3_options,P2
Fiction,0,0,0,83,0,small,tiiuae--falcon-7b,3_options,P2
Misconception,0,0,0,102,0,small,tiiuae--falcon-7b,3_options,P2
Stereotype,0,0,0,122,0,small,tiiuae--falcon-7b,3_options,P2
Conspiracy,2,0,0,263,0,small,tiiuae--falcon-7b,3_options,P3
Controversy,1,0,0,173,0,small,tiiuae--falcon-7b,3_options,P3
Fact,2,0,0,142,0,small,tiiuae--falcon-7b,3_options,P3
Fiction,0,0,0,83,0,small,tiiuae--falcon-7b,3_options,P3
Misconception,0,0,0,102,0,small,tiiuae--falcon-7b,3_options,P3
Stereotype,0,0,0,122,0,small,tiiuae--falcon-7b,3_options,P3
Conspiracy,4,0,0,263,0,small,tiiuae--falcon-7b,4_options,P1
Controversy,6,0,0,173,0,small,tiiuae--falcon-7b,4_options,P1
Fact,6,0,0,142,0,small,tiiuae--falcon-7b,4_options,P1
Fiction,1,0,0,83,0,small,tiiuae--falcon-7b,4_options,P1
Misconception,3,0,0,102,0,small,tiiuae--falcon-7b,4_options,P1
Stereotype,1,0,0,122,0,small,tiiuae--falcon-7b,4_options,P1
Conspiracy,2,0,0,263,0,small,tiiuae--falcon-7b,4_options,P2
Controversy,8,0,0,173,0,small,tiiuae--falcon-7b,4_options,P2
Fact,7,0,0,142,0,small,tiiuae--falcon-7b,4_options,P2
Fiction,1,0,0,83,0,small,tiiuae--falcon-7b,4_options,P2
Misconception,5,0,0,102,0,small,tiiuae--falcon-7b,4_options,P2
Stereotype,0,0,0,122,0,small,tiiuae--falcon-7b,4_options,P2
Conspiracy,2,0,0,263,0,small,tiiuae--falcon-7b,4_options,P3
Controversy,8,0,0,173,0,small,tiiuae--falcon-7b,4_options,P3
Fact,7,0,0,142,0,small,tiiuae--falcon-7b,4_options,P3
Fiction,1,0,0,83,0,small,tiiuae--falcon-7b,4_options,P3
Misconception,5,0,0,102,0,small,tiiuae--falcon-7b,4_options,P3
Stereotype,0,0,0,122,0,small,tiiuae--falcon-7b,4_options,P3
Conspiracy,1,0,0,263,0,small,tiiuae--falcon-7b,4_options/option_probs,P1
Controversy,0,0,0,173,0,small,tiiuae--falcon-7b,4_options/option_probs,P1
Fact,0,0,0,142,0,small,tiiuae--falcon-7b,4_options/option_probs,P1
Fiction,0,0,0,83,0,small,tiiuae--falcon-7b,4_options/option_probs,P1
Misconception,0,0,0,102,0,small,tiiuae--falcon-7b,4_options/option_probs,P1
Stereotype,0,0,0,122,0,small,tiiuae--falcon-7b,4_options/option_probs,P1
Conspiracy,1,0,0,263,0,small,tiiuae--falcon-7b,4_options/option_probs,P2
Controversy,0,0,0,173,0,small,tiiuae--falcon-7b,4_options/option_probs,P2
Fact,0,0,0,142,0,small,tiiuae--falcon-7b,4_options/option_probs,P2
Fiction,0,0,0,83,0,small,tiiuae--falcon-7b,4_options/option_probs,P2
Misconception,0,0,0,102,0,small,tiiuae--falcon-7b,4_options/option_probs,P2
Stereotype,0,0,0,122,0,small,tiiuae--falcon-7b,4_options/option_probs,P2
Conspiracy,0,0,0,263,0,small,tiiuae--falcon-7b,4_options/option_probs,P3
Controversy,0,0,0,173,0,small,tiiuae--falcon-7b,4_options/option_probs,P3
Fact,0,0,0,142,0,small,tiiuae--falcon-7b,4_options/option_probs,P3
Fiction,0,0,0,83,0,small,tiiuae--falcon-7b,4_options/option_probs,P3
Misconception,0,0,0,102,0,small,tiiuae--falcon-7b,4_options/option_probs,P3
Stereotype,0,0,0,122,0,small,tiiuae--falcon-7b,4_options/option_probs,P3
Conspiracy,0,0,0,263,0,small,togethercomputer--RedPajama-INCITE-7B-Base,2_options,P1
Controversy,7,0,0,173,0,small,togethercomputer--RedPajama-INCITE-7B-Base,2_options,P1
Fact,23,0,0,142,0,small,togethercomputer--RedPajama-INCITE-7B-Base,2_options,P1
Fiction,5,0,0,83,0,small,togethercomputer--RedPajama-INCITE-7B-Base,2_options,P1
Misconception,5,0,0,102,0,small,togethercomputer--RedPajama-INCITE-7B-Base,2_options,P1
Stereotype,0,0,0,122,0,small,togethercomputer--RedPajama-INCITE-7B-Base,2_options,P1
Conspiracy,1,0,0,263,0,small,togethercomputer--RedPajama-INCITE-7B-Base,2_options,P2
Controversy,18,0,0,173,0,small,togethercomputer--RedPajama-INCITE-7B-Base,2_options,P2
Fact,43,0,0,142,0,small,togethercomputer--RedPajama-INCITE-7B-Base,2_options,P2
Fiction,11,0,0,83,0,small,togethercomputer--RedPajama-INCITE-7B-Base,2_options,P2
Misconception,4,0,0,102,0,small,togethercomputer--RedPajama-INCITE-7B-Base,2_options,P2
Stereotype,0,0,0,122,0,small,togethercomputer--RedPajama-INCITE-7B-Base,2_options,P2
Conspiracy,1,0,0,263,0,small,togethercomputer--RedPajama-INCITE-7B-Base,2_options,P3
Controversy,11,0,0,173,0,small,togethercomputer--RedPajama-INCITE-7B-Base,2_options,P3
Fact,34,0,0,142,0,small,togethercomputer--RedPajama-INCITE-7B-Base,2_options,P3
Fiction,5,0,0,83,0,small,togethercomputer--RedPajama-INCITE-7B-Base,2_options,P3
Misconception,2,0,0,102,0,small,togethercomputer--RedPajama-INCITE-7B-Base,2_options,P3
Stereotype,0,0,0,122,0,small,togethercomputer--RedPajama-INCITE-7B-Base,2_options,P3
Conspiracy,19,0,0,263,0,small,togethercomputer--RedPajama-INCITE-7B-Base,3_options,P1
Controversy,23,0,0,173,0,small,togethercomputer--RedPajama-INCITE-7B-Base,3_options,P1
