model_size,model,response_type,tags,flipped_count,total_count
large,Llama-2-13b-chat-hf,2_options,Conspiracy,0,144
large,Llama-2-13b-chat-hf,2_options,Controversy,5,129
large,Llama-2-13b-chat-hf,2_options,Fact,25,128
large,Llama-2-13b-chat-hf,2_options,Fiction,0,46
large,Llama-2-13b-chat-hf,2_options,Misconception,1,98
large,Llama-2-13b-chat-hf,2_options,Stereotype,0,30
large,Llama-2-13b-chat-hf,3_options,Conspiracy,68,180
large,Llama-2-13b-chat-hf,3_options,Controversy,101,141
large,Llama-2-13b-chat-hf,3_options,Fact,117,132
large,Llama-2-13b-chat-hf,3_options,Fiction,37,46
large,Llama-2-13b-chat-hf,3_options,Misconception,91,99
large,Llama-2-13b-chat-hf,3_options,Stereotype,12,32
large,Llama-2-13b-chat-hf,4_options,Conspiracy,0,86
large,Llama-2-13b-chat-hf,4_options,Controversy,19,115
large,Llama-2-13b-chat-hf,4_options,Fact,67,123
large,Llama-2-13b-chat-hf,4_options,Fiction,9,44
large,Llama-2-13b-chat-hf,4_options,Misconception,9,95
large,Llama-2-13b-chat-hf,4_options,Stereotype,0,12
large,Llama-2-13b-chat-hf,4_options/option_probs,Conspiracy,79,263
large,Llama-2-13b-chat-hf,4_options/option_probs,Controversy,31,173
large,Llama-2-13b-chat-hf,4_options/option_probs,Fact,13,142
large,Llama-2-13b-chat-hf,4_options/option_probs,Fiction,0,46
large,Llama-2-13b-chat-hf,4_options/option_probs,Misconception,4,102
large,Llama-2-13b-chat-hf,4_options/option_probs,Stereotype,29,122
large,Llama-2-70b-chat-hf,2_options,Conspiracy,18,164
large,Llama-2-70b-chat-hf,2_options,Controversy,82,158
large,Llama-2-70b-chat-hf,2_options,Fact,120,141
large,Llama-2-70b-chat-hf,2_options,Fiction,19,46
large,Llama-2-70b-chat-hf,2_options,Misconception,34,101
large,Llama-2-70b-chat-hf,2_options,Stereotype,2,36
large,Llama-2-70b-chat-hf,3_options,Conspiracy,86,243
large,Llama-2-70b-chat-hf,3_options,Controversy,77,167
large,Llama-2-70b-chat-hf,3_options,Fact,117,142
large,Llama-2-70b-chat-hf,3_options,Fiction,17,46
large,Llama-2-70b-chat-hf,3_options,Misconception,21,102
large,Llama-2-70b-chat-hf,3_options,Stereotype,19,77
large,Llama-2-70b-chat-hf,4_options,Conspiracy,14,97
large,Llama-2-70b-chat-hf,4_options,Controversy,49,117
large,Llama-2-70b-chat-hf,4_options,Fact,104,127
large,Llama-2-70b-chat-hf,4_options,Fiction,11,46
large,Llama-2-70b-chat-hf,4_options,Misconception,16,95
large,Llama-2-70b-chat-hf,4_options,Stereotype,0,32
large,Llama-2-70b-chat-hf,4_options/option_probs,Conspiracy,67,263
large,Llama-2-70b-chat-hf,4_options/option_probs,Controversy,67,173
large,Llama-2-70b-chat-hf,4_options/option_probs,Fact,115,142
large,Llama-2-70b-chat-hf,4_options/option_probs,Fiction,10,46
large,Llama-2-70b-chat-hf,4_options/option_probs,Misconception,12,102
large,Llama-2-70b-chat-hf,4_options/option_probs,Stereotype,8,122
large,Platypus2-70B-instruct,2_options,Conspiracy,67,263
large,Platypus2-70B-instruct,2_options,Controversy,60,173
large,Platypus2-70B-instruct,2_options,Fact,119,142
large,Platypus2-70B-instruct,2_options,Fiction,34,46
large,Platypus2-70B-instruct,2_options,Misconception,45,102
large,Platypus2-70B-instruct,2_options,Stereotype,37,122
large,Platypus2-70B-instruct,3_options,Conspiracy,112,263
large,Platypus2-70B-instruct,3_options,Controversy,88,173
large,Platypus2-70B-instruct,3_options,Fact,105,142
