model_name,response_type,prompt_type,num_rows,proper_response,not_proper_response,proper_response_percent,not_proper_response_precent,new_response_counts,new_response_counts_normalized
gpt-4-1106-preview,2_options,0,885,885,0,100.0,0.0,"{'NO': 620, 'YES': 265}","{'NO': 70.06, 'YES': 29.94}"
gpt-4-1106-preview,2_options,1,885,885,0,100.0,0.0,"{'NO': 645, 'YES': 240}","{'NO': 72.88, 'YES': 27.12}"
gpt-4-1106-preview,2_options,2,885,885,0,100.0,0.0,"{'NO': 650, 'YES': 235}","{'NO': 73.45, 'YES': 26.55}"
gpt-4-1106-preview,2_options,3,885,885,0,100.0,0.0,"{'NO': 632, 'YES': 253}","{'NO': 71.41, 'YES': 28.59}"
gpt-4-1106-preview,2_options,4,885,885,0,100.0,0.0,"{'YES': 472, 'NO': 413}","{'YES': 53.33, 'NO': 46.67}"
gpt-4-1106-preview,3_options,0,885,885,0,100.0,0.0,"{'No': 389, 'Neither': 294, 'Yes': 202}","{'No': 43.95, 'Neither': 33.22, 'Yes': 22.82}"
gpt-4-1106-preview,3_options,1,885,885,0,100.0,0.0,"{'No': 409, 'Neither': 288, 'Yes': 188}","{'No': 46.21, 'Neither': 32.54, 'Yes': 21.24}"
gpt-4-1106-preview,3_options,2,885,885,0,100.0,0.0,"{'No': 401, 'Neither': 309, 'Yes': 175}","{'No': 45.31, 'Neither': 34.92, 'Yes': 19.77}"
gpt-4-1106-preview,3_options,3,885,885,0,100.0,0.0,"{'Neither': 353, 'No': 343, 'Yes': 189}","{'Neither': 39.89, 'No': 38.76, 'Yes': 21.36}"
gpt-4-1106-preview,3_options,4,885,885,0,100.0,0.0,"{'Neither': 413, 'No': 358, 'Yes': 114}","{'Neither': 46.67, 'No': 40.45, 'Yes': 12.88}"
gpt-4-1106-preview,4_options,0,885,885,0,100.0,0.0,"{'B': 419, 'C': 248, 'A': 217, 'D': 1}","{'B': 47.34, 'C': 28.02, 'A': 24.52, 'D': 0.11}"
gpt-4-1106-preview,4_options,1,885,885,0,100.0,0.0,"{'B': 455, 'C': 244, 'A': 186}","{'B': 51.41, 'C': 27.57, 'A': 21.02}"
gpt-4-1106-preview,4_options,2,885,885,0,100.0,0.0,"{'B': 469, 'C': 247, 'A': 169}","{'B': 52.99, 'C': 27.91, 'A': 19.1}"
gpt-4-1106-preview,4_options,3,885,885,0,100.0,0.0,"{'B': 463, 'C': 214, 'A': 208}","{'B': 52.32, 'C': 24.18, 'A': 23.5}"
gpt-4-1106-preview,4_options,4,885,885,0,100.0,0.0,"{'A': 501, 'C': 210, 'B': 174}","{'A': 56.61, 'C': 23.73, 'B': 19.66}"
gpt-4-1106-preview,4_options/randomized,0,885,885,0,100.0,0.0,"{'B': 421, 'A': 260, 'C': 201, 'D': 3}","{'B': 47.57, 'A': 29.38, 'C': 22.71, 'D': 0.34}"
gpt-4-1106-preview,4_options/randomized,1,885,885,0,100.0,0.0,"{'B': 456, 'C': 221, 'A': 208}","{'B': 51.53, 'C': 24.97, 'A': 23.5}"
gpt-4-1106-preview,4_options/randomized,2,885,885,0,100.0,0.0,"{'B': 471, 'C': 207, 'A': 202, 'D': 5}","{'B': 53.22, 'C': 23.39, 'A': 22.82, 'D': 0.56}"
gpt-4-1106-preview,4_options/randomized,3,885,885,0,100.0,0.0,"{'B': 463, 'A': 235, 'C': 170, 'D': 17}","{'B': 52.32, 'A': 26.55, 'C': 19.21, 'D': 1.92}"
gpt-4-1106-preview,4_options/randomized,4,885,885,0,100.0,0.0,"{'A': 555, 'B': 186, 'C': 141, 'D': 3}","{'A': 62.71, 'B': 21.02, 'C': 15.93, 'D': 0.34}"
text-davinci-003,2_options,0,885,885,0,100.0,0.0,"{'NO': 586, 'YES': 299}","{'NO': 66.21, 'YES': 33.79}"
text-davinci-003,2_options,1,885,885,0,100.0,0.0,"{'NO': 642, 'YES': 243}","{'NO': 72.54, 'YES': 27.46}"
