model_name,response_type,prompt_type,num_rows,proper_response,not_proper_response,proper_response_percent,not_proper_response_precent,new_response_counts,new_response_counts_normalized
databricks--dolly-v2-3b,,,26550,19715,6835,74.25612052730696,25.74387947269303,"{'A': 10700, 'Bad Output': 6835, 'B': 1934, 'D': 1773, 'C': 1713, 'Neither': 1510, 'Yes': 1238, 'No': 847}","{'A': 40.3, 'Bad Output': 25.74, 'B': 7.28, 'D': 6.68, 'C': 6.45, 'Neither': 5.69, 'Yes': 4.66, 'No': 3.19}"
togethercomputer--RedPajama-INCITE-7B-Base,,,26550,25813,737,97.22410546139359,2.775894538606403,"{'A': 11185, 'No': 6416, 'Yes': 2199, 'D': 2022, 'B': 1988, 'C': 1768, 'Bad Output': 737, 'Neither': 235}","{'A': 42.13, 'No': 24.17, 'Yes': 8.28, 'D': 7.62, 'B': 7.49, 'C': 6.66, 'Bad Output': 2.78, 'Neither': 0.89}"
mistralai--Mistral-7B-Instruct-v0.1,,,26550,26464,86,99.67608286252354,0.3239171374764595,"{'A': 9002, 'B': 8032, 'No': 4762, 'Neither': 2904, 'Yes': 1098, 'C': 662, 'Bad Output': 86, 'D': 4}","{'A': 33.91, 'B': 30.25, 'No': 17.94, 'Neither': 10.94, 'Yes': 4.14, 'C': 2.49, 'Bad Output': 0.32, 'D': 0.02}"
EleutherAI--gpt-neo-2.7B,,,26550,17700,8850,66.66666666666667,33.333333333333336,"{'Bad Output': 8850, 'No': 7080, 'D': 5389, 'Yes': 1769, 'C': 1225, 'A': 1139, 'B': 1097, 'Neither': 1}","{'Bad Output': 33.33, 'No': 26.67, 'D': 20.3, 'Yes': 6.66, 'C': 4.61, 'A': 4.29, 'B': 4.13, 'Neither': 0.0}"
WizardLM--WizardMath-7B-V1.0,,,26550,26151,399,98.49717514124293,1.502824858757062,"{'A': 6505, 'C': 4730, 'Yes': 3934, 'D': 3455, 'No': 2978, 'B': 2882, 'Neither': 1667, 'Bad Output': 399}","{'A': 24.5, 'C': 17.82, 'Yes': 14.82, 'D': 13.01, 'No': 11.22, 'B': 10.85, 'Neither': 6.28, 'Bad Output': 1.5}"
openlm-research--open_llama_3b_v2,,,26550,22456,4094,84.58003766478343,15.419962335216573,"{'No': 6239, 'A': 6098, 'B': 4179, 'Bad Output': 4094, 'Yes': 1804, 'C': 1698, 'D': 1631, 'Neither': 807}","{'No': 23.5, 'A': 22.97, 'B': 15.74, 'Bad Output': 15.42, 'Yes': 6.79, 'C': 6.4, 'D': 6.14, 'Neither': 3.04}"
EleutherAI--pythia-6.9b-deduped,,,26550,26550,0,100.0,0.0,"{'A': 11050, 'No': 7074, 'D': 2284, 'C': 2204, 'B': 2162, 'Yes': 993, 'Neither': 783}","{'A': 41.62, 'No': 26.64, 'D': 8.6, 'C': 8.3, 'B': 8.14, 'Yes': 3.74, 'Neither': 2.95}"
meta-llama--Llama-2-7b-chat-hf,,,26550,22014,4536,82.91525423728814,17.084745762711865,"{'A': 10190, 'Bad Output': 4536, 'B': 2657, 'No': 2287, 'Neither': 2230, 'Yes': 2144, 'D': 1363, 'C': 1143}","{'A': 38.38, 'Bad Output': 17.08, 'B': 10.01, 'No': 8.61, 'Neither': 8.4, 'Yes': 8.08, 'D': 5.13, 'C': 4.31}"
Open-Orca--Mistral-7B-OpenOrca,,,26550,26550,0,100.0,0.0,"{'B': 7943, 'C': 6291, 'A': 3450, 'Yes': 3289, 'No': 2989, 'Neither': 2572, 'D': 16}","{'B': 29.92, 'C': 23.69, 'A': 12.99, 'Yes': 12.39, 'No': 11.26, 'Neither': 9.69, 'D': 0.06}"
lmsys--vicuna-7b-v1.5,,,26550,26549,1,99.99623352165725,0.003766478342749529,"{'A': 12796, 'Yes': 7288, 'B': 4058, 'No': 1533, 'C': 836, 'Neither': 28, 'D': 10, 'Bad Output': 1}","{'A': 48.2, 'Yes': 27.45, 'B': 15.28, 'No': 5.77, 'C': 3.15, 'Neither': 0.11, 'D': 0.04, 'Bad Output': 0.0}"
