Conspiracy,Controversy,Fact,Fiction,Misconception,Stereotype,total_response,total_conflict,total_yes_no,other_response,bad_output,prompt_type,response_type,model,model_size
1.0,5.0,132.0,0.0,0.0,0.0,725,138,725,0,0,P0,2_options,tiiuae--falcon-7b,small
0.0,6.0,139.0,0.0,0.0,0.0,762,145,762,0,0,P1,2_options,tiiuae--falcon-7b,small
0.0,7.0,140.0,0.0,0.0,0.0,762,147,762,0,0,P2,2_options,tiiuae--falcon-7b,small
1.0,5.0,126.0,2.0,3.0,0.0,725,137,725,0,0,P3,2_options,tiiuae--falcon-7b,small
0.0,7.0,142.0,0.0,0.0,0.0,725,149,725,0,0,P4,2_options,tiiuae--falcon-7b,small
0.0,0.0,2.0,,,,725,2,5,720,0,P0,3_options,tiiuae--falcon-7b,small
0.0,0.0,2.0,,,,762,2,4,758,0,P1,3_options,tiiuae--falcon-7b,small
0.0,,1.0,,,,762,1,2,760,0,P2,3_options,tiiuae--falcon-7b,small
,,,,,,725,0,0,725,0,P3,3_options,tiiuae--falcon-7b,small
0.0,0.0,1.0,,0.0,,725,1,6,719,0,P4,3_options,tiiuae--falcon-7b,small
261.0,39.0,0.0,45.0,97.0,122.0,725,564,706,19,0,P0,4_options,tiiuae--falcon-7b,small
261.0,42.0,0.0,83.0,100.0,121.0,762,607,753,9,0,P1,4_options,tiiuae--falcon-7b,small
263.0,43.0,0.0,83.0,102.0,122.0,762,613,762,0,0,P2,4_options,tiiuae--falcon-7b,small
263.0,43.0,0.0,46.0,102.0,122.0,725,576,725,0,0,P3,4_options,tiiuae--falcon-7b,small
0.0,7.0,142.0,0.0,0.0,0.0,725,149,725,0,0,P4,4_options,tiiuae--falcon-7b,small
263.0,43.0,0.0,46.0,102.0,122.0,725,576,725,0,0,P0,4_options/option_probs,tiiuae--falcon-7b,small
262.0,43.0,0.0,83.0,102.0,122.0,762,612,761,1,0,P1,4_options/option_probs,tiiuae--falcon-7b,small
262.0,43.0,0.0,83.0,102.0,122.0,762,612,761,1,0,P2,4_options/option_probs,tiiuae--falcon-7b,small
263.0,43.0,0.0,46.0,102.0,122.0,725,576,725,0,0,P3,4_options/option_probs,tiiuae--falcon-7b,small
0.0,7.0,142.0,0.0,0.0,0.0,725,149,725,0,0,P4,4_options/option_probs,tiiuae--falcon-7b,small
1.0,10.0,89.0,6.0,4.0,0.0,725,110,725,0,0,P0,2_options,togethercomputer--RedPajama-INCITE-7B-Base,small
1.0,12.0,94.0,14.0,9.0,0.0,762,130,762,0,0,P1,2_options,togethercomputer--RedPajama-INCITE-7B-Base,small
0.0,7.0,132.0,0.0,0.0,0.0,762,139,762,0,0,P2,2_options,togethercomputer--RedPajama-INCITE-7B-Base,small
0.0,9.0,121.0,3.0,4.0,0.0,725,137,725,0,0,P3,2_options,togethercomputer--RedPajama-INCITE-7B-Base,small
0.0,7.0,142.0,0.0,0.0,0.0,725,149,725,0,0,P4,2_options,togethercomputer--RedPajama-INCITE-7B-Base,small
0.0,8.0,125.0,0.0,0.0,0.0,725,133,660,65,0,P0,3_options,togethercomputer--RedPajama-INCITE-7B-Base,small
0.0,8.0,112.0,1.0,1.0,2.0,762,124,627,135,0,P1,3_options,togethercomputer--RedPajama-INCITE-7B-Base,small
2.0,12.0,101.0,3.0,9.0,0.0,762,127,757,5,0,P2,3_options,togethercomputer--RedPajama-INCITE-7B-Base,small
5.0,15.0,98.0,9.0,9.0,3.0,725,139,724,1,0,P3,3_options,togethercomputer--RedPajama-INCITE-7B-Base,small
0.0,7.0,142.0,0.0,0.0,0.0,725,149,725,0,0,P4,3_options,togethercomputer--RedPajama-INCITE-7B-Base,small
263.0,43.0,0.0,46.0,102.0,122.0,725,576,725,0,0,P0,4_options,togethercomputer--RedPajama-INCITE-7B-Base,small
263.0,43.0,0.0,83.0,102.0,122.0,762,613,762,0,0,P1,4_options,togethercomputer--RedPajama-INCITE-7B-Base,small
263.0,43.0,0.0,83.0,102.0,122.0,762,613,762,0,0,P2,4_options,togethercomputer--RedPajama-INCITE-7B-Base,small
241.0,42.0,0.0,36.0,98.0,115.0,725,532,676,0,49,P3,4_options,togethercomputer--RedPajama-INCITE-7B-Base,small
0.0,7.0,136.0,0.0,0.0,0.0,725,143,679,0,46,P4,4_options,togethercomputer--RedPajama-INCITE-7B-Base,small
263.0,43.0,0.0,46.0,102.0,122.0,725,576,725,0,0,P0,4_options/option_probs,togethercomputer--RedPajama-INCITE-7B-Base,small
263.0,43.0,0.0,83.0,102.0,122.0,762,613,762,0,0,P1,4_options/option_probs,togethercomputer--RedPajama-INCITE-7B-Base,small
263.0,43.0,0.0,83.0,102.0,122.0,762,613,762,0,0,P2,4_options/option_probs,togethercomputer--RedPajama-INCITE-7B-Base,small
263.0,43.0,0.0,46.0,102.0,122.0,725,576,725,0,0,P3,4_options/option_probs,togethercomputer--RedPajama-INCITE-7B-Base,small
0.0,7.0,142.0,0.0,0.0,0.0,725,149,725,0,0,P4,4_options/option_probs,togethercomputer--RedPajama-INCITE-7B-Base,small
4.0,8.0,140.0,0.0,0.0,0.0,725,152,725,0,0,P0,2_options,bigscience--bloomz-7b1-mt,small
6.0,9.0,140.0,0.0,0.0,0.0,762,155,762,0,0,P1,2_options,bigscience--bloomz-7b1-mt,small
3.0,7.0,137.0,1.0,0.0,0.0,762,148,762,0,0,P2,2_options,bigscience--bloomz-7b1-mt,small
20.0,7.0,136.0,0.0,0.0,1.0,725,164,725,0,0,P3,2_options,bigscience--bloomz-7b1-mt,small
71.0,32.0,97.0,45.0,77.0,55.0,725,377,725,0,0,P4,2_options,bigscience--bloomz-7b1-mt,small
136.0,25.0,23.0,13.0,63.0,94.0,725,354,725,0,0,P0,3_options,bigscience--bloomz-7b1-mt,small
166.0,31.0,14.0,40.0,67.0,106.0,762,424,762,0,0,P1,3_options,bigscience--bloomz-7b1-mt,small
150.0,30.0,14.0,36.0,63.0,88.0,762,381,762,0,0,P2,3_options,bigscience--bloomz-7b1-mt,small
225.0,35.0,13.0,33.0,72.0,118.0,725,496,725,0,0,P3,3_options,bigscience--bloomz-7b1-mt,small
3.0,7.0,142.0,1.0,2.0,1.0,725,156,725,0,0,P4,3_options,bigscience--bloomz-7b1-mt,small
189.0,27.0,1.0,13.0,55.0,66.0,725,351,499,226,0,P0,4_options,bigscience--bloomz-7b1-mt,small
156.0,18.0,1.0,18.0,40.0,46.0,762,279,453,309,0,P1,4_options,bigscience--bloomz-7b1-mt,small
8.0,1.0,2.0,4.0,9.0,,762,24,60,702,0,P2,4_options,bigscience--bloomz-7b1-mt,small
177.0,20.0,1.0,15.0,40.0,39.0,725,292,420,305,0,P3,4_options,bigscience--bloomz-7b1-mt,small
36.0,11.0,10.0,32.0,57.0,14.0,725,160,227,498,0,P4,4_options,bigscience--bloomz-7b1-mt,small
87.0,12.0,0.0,1.0,26.0,11.0,725,137,238,487,0,P0,4_options/option_probs,bigscience--bloomz-7b1-mt,small
66.0,10.0,0.0,8.0,26.0,8.0,762,118,212,550,0,P1,4_options/option_probs,bigscience--bloomz-7b1-mt,small
3.0,,0.0,,3.0,,762,6,28,734,0,P2,4_options/option_probs,bigscience--bloomz-7b1-mt,small
74.0,8.0,0.0,2.0,24.0,5.0,725,113,205,520,0,P3,4_options/option_probs,bigscience--bloomz-7b1-mt,small
,,4.0,,0.0,,725,4,7,718,0,P4,4_options/option_probs,bigscience--bloomz-7b1-mt,small
60.0,12.0,27.0,9.0,30.0,25.0,725,163,307,0,418,P0,2_options,databricks--dolly-v2-3b,small
43.0,13.0,29.0,41.0,40.0,60.0,762,226,399,0,363,P1,2_options,databricks--dolly-v2-3b,small
0.0,1.0,36.0,0.0,0.0,0.0,762,37,112,0,650,P2,2_options,databricks--dolly-v2-3b,small
103.0,13.0,29.0,11.0,42.0,28.0,725,226,393,0,332,P3,2_options,databricks--dolly-v2-3b,small
47.0,15.0,58.0,16.0,21.0,19.0,725,176,396,0,329,P4,2_options,databricks--dolly-v2-3b,small
3.0,2.0,1.0,4.0,,3.0,725,13,13,475,237,P0,3_options,databricks--dolly-v2-3b,small
3.0,1.0,,4.0,,1.0,762,9,10,412,340,P1,3_options,databricks--dolly-v2-3b,small
10.0,4.0,0.0,10.0,12.0,13.0,762,49,57,104,601,P2,3_options,databricks--dolly-v2-3b,small
6.0,2.0,0.0,,5.0,8.0,725,21,30,168,527,P3,3_options,databricks--dolly-v2-3b,small
2.0,2.0,7.0,2.0,1.0,0.0,725,14,46,103,576,P4,3_options,databricks--dolly-v2-3b,small
248.0,41.0,1.0,45.0,99.0,118.0,725,552,689,1,35,P0,4_options,databricks--dolly-v2-3b,small
218.0,38.0,3.0,77.0,89.0,111.0,762,536,667,1,94,P1,4_options,databricks--dolly-v2-3b,small
261.0,43.0,0.0,80.0,99.0,120.0,762,603,748,0,14,P2,4_options,databricks--dolly-v2-3b,small
243.0,40.0,0.0,45.0,92.0,116.0,725,536,673,0,52,P3,4_options,databricks--dolly-v2-3b,small
0.0,5.0,130.0,0.0,1.0,0.0,725,136,656,0,69,P4,4_options,databricks--dolly-v2-3b,small
263.0,43.0,0.0,46.0,102.0,122.0,725,576,725,0,0,P0,4_options/option_probs,databricks--dolly-v2-3b,small
263.0,43.0,0.0,83.0,102.0,122.0,762,613,762,0,0,P1,4_options/option_probs,databricks--dolly-v2-3b,small
263.0,43.0,0.0,83.0,102.0,122.0,762,613,762,0,0,P2,4_options/option_probs,databricks--dolly-v2-3b,small
263.0,43.0,0.0,46.0,102.0,122.0,725,576,725,0,0,P3,4_options/option_probs,databricks--dolly-v2-3b,small
0.0,7.0,142.0,0.0,0.0,0.0,725,149,725,0,0,P4,4_options/option_probs,databricks--dolly-v2-3b,small
88.0,33.0,11.0,40.0,61.0,28.0,725,261,651,0,74,P0,2_options,tiiuae--falcon-7b-instruct,small
89.0,32.0,10.0,57.0,57.0,37.0,762,282,701,0,61,P1,2_options,tiiuae--falcon-7b-instruct,small
41.0,30.0,25.0,38.0,46.0,10.0,762,190,644,0,118,P2,2_options,tiiuae--falcon-7b-instruct,small
211.0,43.0,2.0,45.0,91.0,52.0,725,444,646,0,79,P3,2_options,tiiuae--falcon-7b-instruct,small
194.0,24.0,99.0,23.0,22.0,27.0,725,389,593,0,132,P4,2_options,tiiuae--falcon-7b-instruct,small
15.0,6.0,2.0,3.0,1.0,,725,27,59,84,582,P0,3_options,tiiuae--falcon-7b-instruct,small
8.0,5.0,1.0,3.0,1.0,,762,18,43,168,551,P1,3_options,tiiuae--falcon-7b-instruct,small
14.0,6.0,3.0,1.0,1.0,1.0,762,26,88,184,490,P2,3_options,tiiuae--falcon-7b-instruct,small
32.0,10.0,1.0,12.0,6.0,2.0,725,63,129,87,509,P3,3_options,tiiuae--falcon-7b-instruct,small
1.0,2.0,38.0,0.0,1.0,,725,42,71,106,548,P4,3_options,tiiuae--falcon-7b-instruct,small
160.0,30.0,0.0,26.0,54.0,65.0,725,335,452,21,252,P0,4_options,tiiuae--falcon-7b-instruct,small
